,name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365
49,One bedroom apt in a brownstone - Manhattan,Féven,Manhattan,Harlem,40.81915,-73.9425,Entire home/apt,112,4,9,2019-06-22,1,89
50,"Cozy Brooklyn  studio, 30 min to Manhattan",Katya,Brooklyn,Prospect-Lefferts Gardens,40.6553,-73.95815999999999,Entire home/apt,80,3,24,2019-06-23,3,19
51,AMAZING 1 BR APT LES/Chinatown NYC,Aleksey,Manhattan,Lower East Side,40.71813,-73.99231,Entire home/apt,145,6,13,2018-06-03,1,0
52,"Spacious sunny 1 bedroom, steps away from subway",Roddison,Brooklyn,Prospect-Lefferts Gardens,40.66288,-73.95277,Entire home/apt,90,2,4,2019-06-24,1,73
53,In the heart of Williamsburg,Louis,Brooklyn,Williamsburg,40.71215,-73.95801,Private room,65,2,0,,1,0
54,Luxury Building one stop from midtown Manhattan !!,泽宇,Queens,Long Island City,40.74887,-73.93829000000001,Private room,149,2,0,,2,53
55,Spacious Brooklyn Getaway,Emily,Brooklyn,Crown Heights,40.66882,-73.95396,Private room,80,1,1,2016-01-05,1,0
56,Quiet Studio in Prime SoHo,Dom,Manhattan,SoHo,40.72493,-74.00307,Entire home/apt,235,3,73,2019-07-05,1,44
57,New york Cozy Studio Near multiple metro Lines,Maria,Manhattan,Midtown,40.75855,-73.96961,Entire home/apt,140,1,3,2018-12-09,1,0
58,"Bright Studio - Park Slope, BK",Yehua,Brooklyn,South Slope,40.66218,-73.98385,Entire home/apt,61,2,20,2019-05-30,1,0
59,Cozy & warm private studio apartment in Astoria,Amy,Queens,Ditmars Steinway,40.77467,-73.9094,Entire home/apt,100,2,6,2019-06-16,1,0
60,It's all about Bushwick BROOKLYN,Madison,Brooklyn,Bushwick,40.68767,-73.91261,Entire home/apt,100,3,308,2019-07-05,1,99
61,1 bedroom apartment on West 34th street,Rated,Manhattan,Midtown,40.75015,-73.98651,Entire home/apt,200,30,0,,33,365
62,"Brooklyn studio by the park, 30 min to Manhattan",Katya,Brooklyn,Prospect-Lefferts Gardens,40.65501,-73.95948,Entire home/apt,80,3,2,2019-06-10,3,0
63,The Art Loft! Spacious and Bright!,Kim,Brooklyn,Bedford-Stuyvesant,40.6924,-73.96029,Entire home/apt,145,5,25,2018-01-02,1,0
64,Dean Street Oasis,Miriam,Brooklyn,Crown Heights,40.67529,-73.93670999999999,Private room,66,1,1,2016-05-02,1,0
65,US Open? Perfect Lg 1 BR apartment,Marvin,Queens,Sunnyside,40.73926,-73.92045,Entire home/apt,150,3,2,2015-09-13,1,0
66,FT Greene Flat Private Entrance,Sj,Brooklyn,Fort Greene,40.68729,-73.96995,Entire home/apt,225,10,10,2019-06-24,4,350
67,Beautiful Williamsburg townhouse on a park.,Gabrielle & Malcolm,Brooklyn,Williamsburg,40.7154,-73.93866,Entire home/apt,295,30,6,2018-04-19,1,0
68,Beautiful Apt in Lefferts Gardens,Godfrey,Brooklyn,Flatbush,40.6548,-73.95388,Private room,40,2,32,2019-07-01,1,82
69,"Epic West Village, NYC rental",Melani,Manhattan,Chelsea,40.73819,-73.99835,Entire home/apt,175,27,2,2018-10-26,1,310
70,"Historic (& happening!) Prospect Heights, BK",Leah,Brooklyn,Prospect Heights,40.67556,-73.96427,Private room,80,1,1,2017-09-13,1,0
71,Modern Studio in Midtown East,Christine,Manhattan,Midtown,40.75701,-73.96781,Entire home/apt,140,3,0,,1,0
72,Charming beautiful studio perfect location!!,Ofir,Manhattan,Upper West Side,40.78382,-73.98235,Entire home/apt,135,30,0,,8,290
73,looking for someone to stay 12days,Joseph,Manhattan,Upper West Side,40.77715,-73.98235,Entire home/apt,260,1,0,,1,0
74,"CHIC 2 BEDROOM W/ LUXURY FINISHES, WASHER DRYER",Corporate Housing,Manhattan,Kips Bay,40.74061,-73.97991,Entire home/apt,185,30,4,2019-03-31,91,201
75,Sonder | Stock Exchange | Welcoming 1BR + Laundry,Sonder (NYC),Manhattan,Financial District,40.7074,-74.01175,Entire home/apt,228,2,2,2019-05-18,327,350
76,SUNNY ROOM WITH SKYLIGHT + 2 BEDS,Emily Wes,Brooklyn,Bedford-Stuyvesant,40.695240000000005,-73.95322,Private room,67,30,31,2019-06-16,6,333
77,Cozy room close to Central Park and Columbia,Beatriz,Manhattan,Upper West Side,40.8018,-73.96264000000001,Private room,115,3,19,2019-06-17,1,189
78,Best view near Times Square,Julio Adrian,Manhattan,Hell's Kitchen,40.75975,-73.9944,Private room,215,2,0,,1,0
79,Beach Lovers Dream!,Monika,Queens,Arverne,40.58921,-73.79479,Entire home/apt,89,2,150,2019-06-11,1,268
80,Beautifully Designed Island Style Garden Suite,Malene,Brooklyn,Bedford-Stuyvesant,40.68252,-73.93863,Entire home/apt,229,4,92,2019-06-15,1,236
81,Cozy Bushwick Loft Apartment,Imani,Brooklyn,Bushwick,40.69178,-73.91243,Private room,30,3,7,2018-03-12,1,0
82,Carol,Jessica,Manhattan,East Village,40.72898,-73.98051,Private room,1700,1,0,,1,0
83,Living Room sofa Bed in Chelsea,Luis,Manhattan,Chelsea,40.74186,-73.99769,Shared room,85,2,22,2019-06-23,4,365
84,Cozy apartment in PERFECT location!,Brenda,Queens,Sunnyside,40.74529,-73.92175999999999,Shared room,50,1,9,2019-03-23,2,0
85,Sunny Apt.  near Columbus circle,Nardys,Manhattan,Hell's Kitchen,40.7668,-73.98428,Entire home/apt,160,3,0,,1,0
86,Big furnitured room in UWS for August!,Alan,Manhattan,Upper West Side,40.79205,-73.97261999999999,Private room,45,5,0,,1,0
87,Cheap & Comfy Huge Private Room!,Honglip,Brooklyn,Bensonhurst,40.61006,-73.99902,Private room,37,4,52,2019-06-30,1,70
88,The big little room,Kori,Brooklyn,Crown Heights,40.67804,-73.95411,Private room,105,1,1,2017-09-24,3,0
89,Prime North Williamsburg Luxury Studio,Raquel,Brooklyn,Williamsburg,40.718,-73.9525,Entire home/apt,175,2,9,2018-12-30,1,0
90,"Bright, Spacious Apartment in Brooklyn",Filippo,Brooklyn,Clinton Hill,40.68453,-73.96773,Entire home/apt,120,5,2,2018-09-14,1,13
91,Staten Island Home with a View,Farah,Staten Island,Tompkinsville,40.63513,-74.07929,Private room,135,2,65,2019-06-24,2,293
92,12 East 86th St full furnished,Raymond,Manhattan,Upper East Side,40.78046,-73.96047,Entire home/apt,200,30,0,,10,164
93,Cozy warm one bedroom,Nick,Queens,Astoria,40.7576,-73.9067,Entire home/apt,70,1,1,2015-11-11,1,0
94,1-bed/ba  PR condo Wyn.  Midtown 45 Thanksgiving,Martha,Manhattan,Midtown,40.75322,-73.97353000000001,Private room,500,3,0,,1,365
95,"Room in duplex  w/sep. bathroom, close to J train",Semih,Brooklyn,Bedford-Stuyvesant,40.688590000000005,-73.92238,Private room,100,2,8,2019-02-11,1,0
96,Upper West 1 Bedroom / 1 Bath. Lincoln Center,Emily,Manhattan,Upper West Side,40.77567,-73.988,Entire home/apt,190,30,2,2019-06-15,25,322
97,New York home ferry ride from Manhattan.,Pariis,Staten Island,Tompkinsville,40.63304,-74.09244,Private room,90,1,6,2019-06-23,1,262
98,Queens Corner Lot,-TheQueensCornerLot,Queens,Queens Village,40.70524,-73.73349,Entire home/apt,150,1,51,2019-07-07,1,248
99,Upper East Side Room,Christa,Manhattan,East Harlem,40.78809,-73.95333000000001,Private room,45,1,3,2016-05-20,1,0
100,Large Place bushwick with furniture,Roodmy,Brooklyn,Bushwick,40.69416,-73.90816,Private room,45,7,11,2017-09-20,1,0
101,West Village Bedroom in duplex apartment,Chris,Manhattan,West Village,40.72986,-74.00465,Private room,100,2,3,2017-11-16,1,0
102,Charming Williamsburg Loft - 1 BR,Thibaut,Brooklyn,Greenpoint,40.7198,-73.95489,Entire home/apt,179,1,15,2019-05-19,1,0
103,Private Bedroom in Beautiful Apartment,Florence And Peter,Manhattan,Harlem,40.80627,-73.94896,Private room,95,4,20,2018-10-02,1,69
104,Cozy and affordable room.,Fabiola,Bronx,Williamsbridge,40.88165,-73.85625,Private room,34,5,17,2019-05-31,2,313
105,Gorgeous  Luxury Studio!!,Dave,Manhattan,Hell's Kitchen,40.77044,-73.99126,Entire home/apt,220,3,0,,1,29
106,Very close to Downtown Awesome Room,Jeffrey,Brooklyn,Gravesend,40.60399,-73.97091999999999,Private room,72,1,61,2019-07-06,2,335
107,Cozy and Nice room in Queens! good subway access!,Shogo,Queens,Woodside,40.74287,-73.89439,Private room,32,28,3,2019-06-01,15,0
108,Wonderful room for rent in the Bronx,Albena,Bronx,Bronxdale,40.85527,-73.86719000000001,Private room,35,1,21,2018-12-11,1,284
109,Soho/Nolita Apartment w/Rooftop Terrace,Chris,Manhattan,Nolita,40.72191,-73.99472,Entire home/apt,120,19,5,2018-03-25,2,0
110,Sunny Spacious Private Bedroom in Brooklyn,Gabriel,Brooklyn,Prospect-Lefferts Gardens,40.65618,-73.95664000000001,Private room,55,4,26,2019-06-24,1,73
111,Light Filled Private Room,Christopher,Manhattan,East Harlem,40.79729,-73.93536999999999,Private room,49,7,5,2017-12-29,1,0
112,"New Condo 2 bedrms /1,5bath elevator & balcony",Ha,Manhattan,Chinatown,40.71409,-73.99434000000001,Entire home/apt,400,1,2,2018-10-07,4,191
113,Cozy Studio in Luxury Building LIC,Elva,Queens,Long Island City,40.74572,-73.95679,Entire home/apt,85,5,1,2016-08-13,1,0
114,"Affordable 1 bedroom apt, in great neighborhood",Nayamkah,Brooklyn,Bedford-Stuyvesant,40.68411,-73.94494,Entire home/apt,100,2,5,2017-05-24,1,0
115,Cozy room in duplex apartment - terrace with view,Alessandro,Brooklyn,Crown Heights,40.67686,-73.93159,Private room,45,14,0,,1,30
116,1890s North Williamsburg Townhouse,Rachel,Brooklyn,Greenpoint,40.72559,-73.95033000000001,Private room,145,2,21,2019-04-22,1,64
117,Trendy open concept Williamsburg loft apartment,Kori,Brooklyn,Williamsburg,40.71125,-73.96115999999999,Entire home/apt,300,2,5,2019-07-01,1,57
118,1 Bedroom in williamsburg,Geoffray,Brooklyn,Williamsburg,40.70912,-73.94107,Entire home/apt,150,7,0,,1,0
119,Beautiful 3 bedroom apartment!!,Jenny & Jose,Brooklyn,Crown Heights,40.67679,-73.93776,Entire home/apt,82,8,108,2019-06-16,2,238
120,Spacious Room in Sugar Hill,Douglas,Manhattan,Washington Heights,40.83089,-73.94125,Private room,49,3,3,2016-07-14,2,0
121,One bedroom in luxury FiDi building,Rishab,Manhattan,Financial District,40.7083,-74.01406,Private room,80,5,1,2017-01-01,1,0
122,Bedroom Upper West Side 10min walk to Central Park,Kyle,Manhattan,Upper West Side,40.79358,-73.97452,Private room,175,4,3,2017-11-05,1,0
123,~Room for Guest in Stunning BK Apt~,Addie,Brooklyn,Bedford-Stuyvesant,40.68538,-73.92447,Private room,32,3,7,2019-01-27,1,0
124,Chelsea HIGHLINE Prime Location,Alexis,Manhattan,Chelsea,40.749,-74.00244,Entire home/apt,300,2,3,2019-07-07,1,365
125,TheGreystone,Shantell,Queens,Queens Village,40.72774,-73.73461999999999,Entire home/apt,99,1,6,2019-07-07,1,15
126,Large private room in huge LES Apt,Nick,Manhattan,Lower East Side,40.72156,-73.98711999999999,Private room,70,1,2,2015-06-10,1,0
127,Private Room In a Beautiful Tree-Lined Brownstone,Joshua,Brooklyn,Bedford-Stuyvesant,40.6887,-73.93982,Private room,50,1,1,2019-06-30,1,27
128,"Private Bushwick Room -- Close to J, M, L Trains",Keilyn,Brooklyn,Bushwick,40.70055,-73.93024,Private room,56,2,32,2019-06-25,1,158
129,"Chic, Cozy LES 1BR. Weekly clean included!",Michelle,Manhattan,Chinatown,40.71687,-73.99046,Entire home/apt,87,59,51,2019-02-01,1,0
130,Murray Hill studio,Alex,Manhattan,Murray Hill,40.74849,-73.97708,Entire home/apt,140,3,1,2019-06-17,1,3
131,Artsy Upper East Side Apartment,Victor,Manhattan,Upper East Side,40.76703,-73.95957,Entire home/apt,200,3,3,2019-04-22,1,188
132,LOFTY 3 BEDROOMS DUPLEX 30MN FROM DOWNTOWN,Samira,Brooklyn,Bay Ridge,40.62645,-74.02888,Entire home/apt,165,20,0,,1,46
133,Designer large studio in Brooklyn Heights,Naomi,Brooklyn,Brooklyn Heights,40.69924,-73.99296,Entire home/apt,150,2,0,,1,74
134,Sunny and Spacious private bedroom,S,Brooklyn,Bushwick,40.69613,-73.90768,Private room,66,1,2,2017-10-08,1,0
135,1 bdrm brownstone-west 70's-1 block Central Park,Marjorie,Manhattan,Upper West Side,40.77555,-73.9767,Entire home/apt,250,3,73,2019-06-07,1,284
136,East Village Two Bedroom,Panayiota,Manhattan,East Village,40.72964,-73.98095,Entire home/apt,380,1,0,,1,0
137,Boutique Gowanus Queen Studio,Melissa,Brooklyn,Gowanus,40.6786,-73.98380999999999,Private room,139,1,82,2019-07-07,17,355
138,Bright chic room in Clinton hill,Lisa,Brooklyn,Clinton Hill,40.68366,-73.96563,Private room,65,7,10,2017-12-10,1,0
139,Brand NewXL 1BR~Prime midtown~Laundry~Elev~Sleeps4,Izi,Manhattan,Hell's Kitchen,40.76273,-73.9942,Entire home/apt,185,30,0,,13,298
140,Sunny room in great location,Engorako,Queens,Astoria,40.76549,-73.9149,Private room,60,50,0,,1,21
141,One Bedroom Apt Near Central Park,Abigail,Manhattan,Morningside Heights,40.8057,-73.95826,Entire home/apt,175,2,1,2017-10-28,1,0
142,Home with Private Terrace Off the Park,Cole,Manhattan,Upper West Side,40.78875,-73.9679,Private room,150,2,5,2018-09-22,1,0
143,The Herkimer House  Room #2,Malik,Brooklyn,Bedford-Stuyvesant,40.67831,-73.93903,Private room,65,3,3,2015-10-13,1,342
144,Adorable walk-up on the high line—with views!,Sean,Manhattan,Chelsea,40.750240000000005,-74.00213000000001,Entire home/apt,175,4,3,2019-06-09,1,15
145,Cozy 1bedroom apt/Manhattan/East side,Lili,Manhattan,Upper East Side,40.77821,-73.95504,Entire home/apt,150,2,3,2019-06-30,1,164
146,"Artsy, Cozy 1 bedroom in Flatbush",Nia,Brooklyn,East Flatbush,40.64041,-73.95133,Entire home/apt,97,2,21,2019-05-13,1,0
147,Convenient Ridgewood Brownstone,Mark,Queens,Ridgewood,40.70422,-73.8984,Entire home/apt,375,4,5,2019-05-17,2,364
148,Owners duplex in beautiful bed stuy brownstone,Laurel,Brooklyn,Bedford-Stuyvesant,40.67866,-73.94759,Entire home/apt,225,4,0,,1,9
149,Close to all NYC! Perfect place and cozy room,Yuri,Manhattan,Hell's Kitchen,40.75996,-73.99798,Private room,89,1,0,,1,0
150,Comfortable affordable room #5,Jannices,Brooklyn,Bushwick,40.68929,-73.90605,Private room,38,1,5,2019-06-19,6,7
151,Vanilla Tea - Cozy Studio Hideaway in Bed Stuy #5,Deirdre,Brooklyn,Bedford-Stuyvesant,40.68374,-73.9447,Private room,68,2,134,2019-06-20,3,245
152,Bright and Sunny Urban Getaway,Gregory,Manhattan,Inwood,40.86858,-73.92042,Entire home/apt,200,2,1,2019-06-30,1,234
153,Live/Work East Williamsburg Loft,Bryan,Brooklyn,Williamsburg,40.70592,-73.93513,Entire home/apt,165,2,7,2019-02-03,1,0
154,Bright room with Open Terrace 3min walk to Subway,Momoyo,Queens,Elmhurst,40.74063,-73.87732,Private room,33,29,1,2019-06-16,7,34
155,Beautiful room with view in newly-renovated house,Victor,Bronx,Fordham,40.86643,-73.88895,Private room,65,2,7,2019-04-01,3,110
156,Charming & convenient to subways/1 bed. brownstone,Lauren,Brooklyn,Park Slope,40.67947,-73.97618,Entire home/apt,150,7,1,2018-10-18,1,0
157,Spacious bedroom near Prospect Park,Kelsey,Brooklyn,Crown Heights,40.67434,-73.95761999999999,Private room,45,4,0,,1,0
158,Sunny & Cozy Double Bedroom with private entrance,Meryem,Brooklyn,Windsor Terrace,40.66023,-73.9804,Private room,85,1,6,2018-04-02,1,0
159,Massive Bedroom by Prospect Park,Thomas,Brooklyn,Flatbush,40.65036,-73.96306,Private room,70,1,0,,2,0
160,Bright apt in the heart of the lower east side!,Capucine,Manhattan,East Village,40.72241,-73.98554,Entire home/apt,180,5,1,2019-07-03,1,32
161,A Nice Room For Unique people,Catherine,Bronx,Throgs Neck,40.82952,-73.82818,Private room,140,1,31,2019-06-09,5,365
162,Live like a local in NYC! Next to Ditmars subway,Missy,Queens,Ditmars Steinway,40.77673,-73.90993,Private room,40,2,8,2019-06-08,2,229
163,ROOMS ONE and TWO,Ravita,Brooklyn,Cypress Hills,40.68537,-73.87442,Private room,250,3,0,,3,364
164,Private studio in midtown Manhattan,Stanley,Manhattan,Murray Hill,40.74844,-73.97713,Entire home/apt,130,30,1,2017-11-01,50,364
165,Best of Brooklyn,Sasha,Brooklyn,Crown Heights,40.6698,-73.94991999999999,Entire home/apt,175,3,77,2019-06-17,1,54
166,Clean! Quiet! Near train and park!,Kathryn,Brooklyn,Windsor Terrace,40.65998,-73.97811,Private room,70,3,0,,1,0
167,Spacious Private Room - Harlem/Manhattan Townhouse,Karen,Manhattan,East Harlem,40.80921,-73.94001999999999,Private room,70,2,89,2019-06-29,4,249
168,Prime carroll gardens chrming 2 bed rooms,Sol,Brooklyn,Carroll Gardens,40.67778,-73.9952,Entire home/apt,250,1,50,2019-06-25,5,365
169,Quiet Mid-Century Modern Apartment,Ashlin,Manhattan,Upper West Side,40.77995,-73.98464,Entire home/apt,220,2,3,2019-04-29,1,36
170,Sunny room in Alphabet City,Andra,Manhattan,East Village,40.72135,-73.98,Private room,85,5,12,2016-09-06,1,0
171,Peaceful Retreat in a Brownstone,Seun And Marie,Brooklyn,Bedford-Stuyvesant,40.68706,-73.93077,Private room,67,2,21,2019-05-21,7,58
172,Beautiful brand new apartment !,Lou,Brooklyn,Sunset Park,40.66362,-73.99616,Entire home/apt,330,1,1,2018-11-04,5,174
173,Private Room & Bathroom in LES,Carly,Manhattan,Two Bridges,40.71205,-73.99463,Private room,120,5,0,,1,0
174,Loft Apartment in Williamsburg,Evan,Brooklyn,Williamsburg,40.7125,-73.9529,Entire home/apt,180,3,3,2016-06-06,1,0
175,2 bedroom apartment with a big outdoor terrace,Alan,Queens,Ditmars Steinway,40.77363,-73.91188000000001,Private room,90,4,0,,1,0
176,Sunny Boutique Condo on Picturesque Harlem Street,Jerry And Kate,Manhattan,East Harlem,40.807190000000006,-73.94088,Entire home/apt,250,2,10,2019-04-07,1,0
177,Comfy one bedroom with backyard,Karen,Manhattan,Upper West Side,40.8004,-73.96866999999999,Entire home/apt,225,3,23,2019-06-30,1,283
178,Spacious Studio w/ Patio- Ft Greene,Shawn,Brooklyn,Fort Greene,40.68702,-73.97506,Entire home/apt,169,2,136,2019-06-16,1,251
179,"Spacious bright 2-bed duplex in Bed-Stuy, Brooklyn",Mary,Brooklyn,Clinton Hill,40.68664,-73.95981,Entire home/apt,170,7,3,2016-09-09,1,0
180,LUXURY STUDIO ON WEST 56TH ST-POOL/GYM/CLUB HOUSE,Pranjal,Manhattan,Midtown,40.76701,-73.98174,Entire home/apt,225,30,0,,65,249
181,Glass factory loft,Jacob,Brooklyn,Greenpoint,40.73792,-73.95541,Private room,60,7,5,2019-05-31,1,0
182,Cozy Private Bedroom in Uptown Manhattan,Abbey,Manhattan,Washington Heights,40.84198,-73.93816,Private room,40,2,1,2016-07-26,1,0
183,Micheal's Apartment in Harlem,Micheal,Manhattan,Harlem,40.81671,-73.94013000000001,Private room,80,6,0,,1,364
184,"Comfy room in brownstone, Ridgewood",Ruthy,Queens,Ridgewood,40.70365,-73.89572,Private room,100,1,0,,1,0
185,Cozy Apartment in Time Square with Amazing view,J,Manhattan,Theater District,40.76122,-73.98583,Private room,136,3,0,,1,0
186,Luxury Secured Building / Chic NYC Studio,Daniela,Manhattan,Midtown,40.76064,-73.97066,Entire home/apt,375,4,2,2017-09-23,1,178
187,Nice Room in the Upper West Side. Great Location.,Elena,Manhattan,Upper West Side,40.79528,-73.97325,Private room,100,3,38,2019-04-03,1,14
188,Upper East Side One Bedroom,Bee,Manhattan,East Harlem,40.7868,-73.95228,Private room,50,2,29,2019-06-08,1,0
189,Stay into heart of Brooklyn close  Prospect Park B,Hitalo,Brooklyn,Prospect-Lefferts Gardens,40.66225,-73.94126,Private room,74,1,20,2019-06-23,5,125
190,Home away From Home in Queens!,Stella,Queens,Bayswater,40.59968,-73.76451999999999,Private room,60,2,81,2019-06-16,1,312
